longitude,latitude,physical_location,postal_address,hours_of_operation,hiv_capable,details
7.401916504,5.249084473,,,,,View
7.412902832,5.347106933,,,,,View
7.364501953,5.338073731,,,,,View
7.420715332,5.268493653,,,,,View
7.314880371,5.30291748,,,,,View
7.31025,5.26277,,,,,View
7.35168457,5.30871582,,,,,View
7.456298828,5.235290527,,,,,View
7.42032,5.39434,,,,,View
7.411071777,5.31829834,,,,,View
7.417907715,5.263916015,,,,,View
7.400386333,5.394458771,,,,,View
7.384342141,5.37556345,,,,,View
7.407470703,5.247070312,,,,,View
7.401306153,5.237304687,,,,,View
7.336120605,5.288513184,,,,,View
7.3159,5.28708,,,,,View
7.44128418,5.303710938,,,,,View
7.489929199,5.343505859,,,,,View
7.479492188,5.32647705,,,,,View
7.421,5.31439,,,,,View
7.453308695,5.384754539,,,,,View
7.4019,5.3550,,,,,View
7.44570,5.36689,,,,,View
7.4778,5.3372,,,,,View
7.491699218,5.290527344,,,,,View
7.42733,5.35125,,,,,View
7.444885254,5.34387207,,,,,View
7.48016,5.33482,,,,,View
7.48991,5.34366,,,,,View
7.479479313,5.326341391,,,,,View
7.46263,5.34366,,,,,View
7.4169,5.2359,,,,,View
7.2838,5.2231,,,,,View
7.29491,5.24820,,,,,View
7.1820,5.1713,,,,,View
7.30717957,5.284386277,,,,,View
7.3032,5.2938,,,,,View
7.1940,5.1647,,,,,View
7.336079527,5.288377404,,,,,View
7.30727,5.28489,,,,,View
7.4222,5.228088378,,,,,View
7.44000663,5.26961886,,,,,View
7.3562,5.3066,,,,,View
7.2744,5.1836,,,,,View
7.4539,5.3271,,,,,View
7.4304,5.3202,,,,,View
7.3325,5.3182,,,,,View
7.35473472,5.31007116,,,,,View
7.35183,5.30839,,,,,View
7.1925,5.1848,,,,,View
7.31512,5.30876,,,,,View
7.31506174,5.3088064,,,,,View
7.30765,5.26976,,,,,View
7.34250,5.31293,,,,,View
7.3912872,5.21133551,,,,,View
7.401164174,5.23716867,,,,,View
7.2143,5.1639,,,,,View
7.3937,5.2367,,,,,View
7.4060,5.2445,,,,,View
7.40744,5.24422,,,,,View
7.2455,5.1451,,,,,View
7.40784862,5.24178529,,,,,View
7.2426,5.1449,,,,,View
7.41275,5.24401,,,,,View
7.4587,5.3021,,,,,View
7.2628,5.2045,,,,,View
7.47338,5.26325,,,,,View
7.47338,5.26325,,,,,View
7.441000342,5.294798613,,,,,View
7.4413,5.3037,,,,,View
7.417114257,5.28930664,,,,,View
7.3647,5.3361,,,,,View
7.3808,5.3222,,,,,View
7.3796,5.3236,,,,,View
7.42776,5.28690,,,,,View
7.3918,5.2893,,,,,View
7.420620918,5.268502235,,,,,View
7.4256,5.2732,,,,,View
7.422302246,5.268310547,,,,,View
7.3949,5.2613,,,,,View
7.293090821,5.303283691,,,,,View
7.401781082,5.248986483,,,,,View
7.364455462,5.338030457,,,,,View
7.314915061,5.30284524,,,,,View
7.402709961,5.422729492,,,,,View
7.411029339,5.318230391,,,,,View
7.4212,5.8294,,,,,View
7.414811254,5.828011036,,,,,View
7.43741,5.82536,,,,,View
7.4131,5.8376,,,,,View
7.51788,5.83129,,,,,View
7.5065,5.8157,,,,,View
7.4273,5.8449,,,,,View
7.4442,5.7677,,,,,View
7.41027,5.7085,,,,,View
7.472473145,5.734680176,,,,,View
7.4674,5.753,,,,,View
7.46214,5.73346,,,,,View
7.442424446,5.733763607,,,,,View
7.4231,5.7389,,,,,View
7.5247,5.7433,,,,,View
7.530700683,5.789672851,,,,,View
7.52069,5.76849,,,,,View
7.396802902,5.823488832,,,,,View
7.441,5.8327,,,,,View
7.5316,5.832,,,,,View
7.44606,5.82514,,,,,View
7.565,5.4441,,,,,View
7.5578,5.7165,,,,,View
7.52306,5.7311,,,,,View
7.51232,5.74353,,,,,View
7.5033,5.7329,,,,,View
7.503939562,5.734299462,,,,,View
7.5067,5.75124,,,,,View
7.5316,5.8372,,,,,View
5.772705078,7.459899902,,,,,View
7.4478,5.8489,,,,,View
7.410522461,5.850524902,,,,,View
7.418273926,5.848876953,,,,,View
7.46712,5.72536,,,,,View
7.4732,5.7607,,,,,View
7.47552906,5.75893527,,,,,View
7.5391,5.7385,,,,,View
7.5391,5.7368,,,,,View
7.538513184,5.729675293,,,,,View
7.52768,5.72228,,,,,View
7.4984,5.7681,,,,,View
7.500488281,5.717712403,,,,,View
7.45252,5.77232,,,,,View
7.4525,5.7723,,,,,View
7.45989,5.7726,,,,,View
7.41831,5.84877,,,,,View
7.55781,5.7165,,,,,View
7.431274414,5.011901855,,,,,View
7.504272461,5.064880371,,,,,View
7.453840,5.148738,,,,,View
7.429077148,5.134521485,,,,,View
7.40957,5.12021,,,,,View
7.40827,5.12799,,,,,View
7.41119,5.12728,,,,,View
7.141119,5.12728,,,,,View
7.431311,5.11324,,,,,View
7.398380041,5.111528635,,,,,View
7.428100586,5.108276367,,,,,View
7.47655,5.13414,,,,,View
7.414489746,5.129882812,,,,,View
7.39144,5.11276,,,,,View
7.39288,5.12528,,,,,View
7.432312011,5.11328125,,,,,View
7.40446,5.12713,,,,,View
7.403004169,5.144031644,,,,,View
7.395345,5.169106,,,,,View
